pdb_id,chainA,chainB,n_resA,n_resB,interfaceA_5A,interfaceB_5A,interface_total_5A
12E8,H,L,221,214,47,47,94
12E8,L,M,214,214,4,7,11
12E8,M,P,214,221,48,49,97
15C8,H,L,217,213,50,44,94
1A00,A,B,141,146,22,22,44
1A00,A,C,141,141,7,7,14
1A00,A,D,141,146,15,16,31
1A00,B,C,146,141,16,16,32
1A00,C,D,141,146,22,22,44
1A01,A,B,141,146,23,22,45
1A01,A,C,141,141,7,7,14
1A01,A,D,141,146,14,16,30
1A01,B,C,146,141,16,15,31
1A01,C,D,141,146,22,22,44
1A02,F,J,53,52,20,20,40
1A02,F,N,53,280,12,13,25
1A02,J,N,52,280,7,9,16
1A07,A,B,105,104,14,12,26
1A08,A,B,105,104,12,10,22
1A09,A,B,106,102,7,11,18
1A0O,A,B,128,70,13,15,28
1A0O,C,D,128,67,15,15,30
1A0O,E,F,128,69,15,16,31
1A0O,G,H,128,67,16,13,29
1A0Q,H,L,205,211,42,43,85
1A0R,B,G,339,65,79,48,127
1A0R,B,P,339,188,57,48,105
1A0U,A,B,141,146,23,22,45
1A0U,A,C,141,141,6,7,13
1A0U,A,D,141,146,15,17,32
1A0U,B,C,146,141,16,15,31
1A0U,C,D,141,146,22,21,43
1A0Z,A,B,141,146,22,22,44
1A0Z,A,C,141,141,7,7,14
1A0Z,A,D,141,146,15,16,31
1A0Z,B,C,146,141,17,15,32
1A0Z,C,D,141,146,22,22,44
1A14,H,L,120,104,17,20,37
1A14,H,N,120,388,9,12,21
1A14,L,N,104,388,9,12,21
1A1A,A,B,106,102,8,11,19
1A1B,A,B,105,104,12,12,24
1A1C,A,B,105,104,12,10,22
1A1E,A,B,104,104,12,11,23
1A1M,A,B,278,99,36,30,66
1A1N,A,B,276,99,36,32,68
1A1O,A,B,276,99,36,31,67
1A1R,A,B,152,179,12,10,22
1A22,A,B,180,192,33,33,66
1A2C,H,L,252,36,49,32,81
1A2X,A,B,158,31,31,21,52
1A2Y,A,B,107,116,21,24,45
1A2Y,A,C,107,129,8,10,18
1A2Y,B,C,116,129,10,13,23
1A30,A,B,99,99,43,41,84
1A3L,H,L,218,217,49,50,99
1A3N,A,B,141,145,22,22,44
1A3N,A,C,141,141,7,7,14
1A3N,A,D,141,145,17,16,33
1A3N,B,C,145,141,16,15,31
1A3N,C,D,141,145,22,22,44
1A3O,A,B,141,145,22,22,44
1A3O,A,C,141,141,7,7,14
1A3O,A,D,141,145,17,15,32
1A3O,B,C,145,141,17,18,35
1A3O,C,D,141,145,22,22,44
1A3R,H,L,212,220,49,48,97
1A4F,A,B,141,146,22,24,46
1A4J,A,B,217,217,44,40,84
1A4J,H,L,217,217,41,43,84
1A4K,A,B,216,219,48,40,88
1A4K,H,L,217,217,43,47,90
1A4Y,A,B,460,123,40,38,78
1A4Y,A,D,460,460,40,41,81
1A4Y,D,E,460,123,40,37,77
1A50,A,B,260,390,36,36,72
1A5A,A,B,255,389,34,35,69
1A5B,A,B,249,389,35,36,71
1A5F,H,L,212,220,54,46,100
1A5K,A,C,100,566,25,22,47
1A5K,B,C,101,566,39,47,86
1A5L,A,C,100,536,25,21,46
1A5L,B,C,101,536,38,48,86
1A5M,A,C,100,566,25,22,47
1A5M,B,C,101,566,39,46,85
1A5N,A,C,100,551,25,22,47
1A5N,B,C,101,551,38,48,86
1A5O,A,C,100,566,24,20,44
1A5O,B,C,101,566,38,48,86
1A5S,A,B,258,388,37,37,74
1A6A,A,B,176,187,59,49,108
1A6D,A,B,503,502,62,49,111
1A6T,A,B,210,217,54,52,106
1A6T,C,D,210,217,53,52,105
1A6U,H,L,120,108,19,25,44
